iter	RMSE
0	1305.031938
1	1250.476832
2	1198.195263
3	1146.687223
4	1099.316798
5	1055.896019
6	1014.437021
7	975.3275514
8	937.7767523
9	902.9705573
10	868.8925701
11	836.4096123
12	806.3775956
13	777.6024174
14	750.7587639
15	726.2390606
16	701.9975271
17	680.4264465
18	659.4098387
19	639.5671543
20	621.8326145
21	604.3375357
22	587.9800059
23	572.6451915
24	558.7478658
25	545.5095017
26	533.5395254
27	522.4312655
28	511.6491744
29	502.20248
30	493.1231969
31	484.6742397
32	476.9841122
33	469.8191712
34	462.7954299
35	456.4652452
36	450.7326848
37	445.4939517
38	440.5187783
39	435.9572927
40	431.7652146
41	428.0322975
42	424.3584596
43	420.9491078
44	418.0494253
45	415.1559015
46	412.5236161
47	410.2470065
48	408.067621
49	405.9954845
50	404.1401153
51	402.3652699
52	400.712977
53	399.1755156
54	397.9246439
55	396.6455727
56	395.446327
57	394.3331201
58	393.2201863
59	392.1745383
60	391.270013
61	390.4711687
62	389.6114819
63	388.9944707
64	388.3342548
65	387.6682174
66	387.0848249
67	386.6109998
68	386.0948012
69	385.5584369
70	385.0243448
71	384.6500131
72	384.2835823
73	383.9197822
74	383.5349243
75	383.1988866
76	382.8366243
77	382.512889
78	382.1616714
79	381.8620757
80	381.5401582
81	381.2036324
82	380.8216945
83	380.6300804
84	380.3511757
85	380.1533618
86	379.7694682
87	379.4602949
88	379.251979
89	379.0590567
90	378.9007805
91	378.6565876
92	378.4597204
93	378.2931277
94	378.0266775
95	377.8024424
96	377.6590513
97	377.3919066
98	377.2229757
99	377.1053818
100	376.8815578
101	376.6833486
102	376.3276786
103	376.2169436
104	376.0666869
105	375.9468355
106	375.7682141
107	375.6391149
108	375.440906
109	375.2096782
110	375.1741132
111	375.0848282
112	374.9490249
113	374.7883764
114	374.627369
115	374.4294607
116	374.3819647
117	374.1440118
118	373.9761444
119	373.8502693
120	373.6807171
121	373.5621091
122	373.4189783
123	373.2878692
124	373.0586947
125	372.8122662
126	372.6431706
127	372.6296913
128	372.427195
129	372.2907483
130	372.1994988
131	371.9586456
132	371.8703645
133	371.713818
134	371.5331307
135	371.4070355
136	371.3405081
137	371.3065041
138	371.2418749
139	371.1992839
140	371.1786717
141	370.9178635
142	370.7305893
143	370.5807069
144	370.284832
145	370.1091926
146	369.990446
147	369.9616994
148	369.8467977
149	369.7188306
150	369.7030093
151	369.5719008
152	369.466419
153	369.3410686
154	369.2948277
155	369.1778651
156	368.9972541
157	368.8526409
158	368.7354548
159	368.4899358
160	368.2489229
161	368.2047669
162	368.1429629
163	367.929167
164	367.8102926
165	367.718766
166	367.6617592
167	367.5490245
168	367.4888014
169	367.3233883
170	367.3150829
171	367.3052276
172	367.1319928
173	367.0388562
174	366.9176652
175	366.7514105
176	366.6816312
177	366.6717823
178	366.5730519
179	366.4884371
180	366.4854011
181	366.3370071
182	366.2259865
183	366.0468047
184	365.942769
185	365.8542795
186	365.776559
187	365.6885832
188	365.6191269
189	365.5215959
190	365.472422
191	365.2009003
192	365.0431315
193	364.9190727
194	364.6513687
195	364.4421003
196	364.3038503
197	364.188123
198	364.0973895
199	363.9912214
200	363.8853332
201	363.7928235
202	363.6935172
203	363.5316413
204	363.4641689
205	363.272955
206	363.1818642
207	363.1229472
208	363.0065838
209	362.8119247
210	362.6859504
211	362.5607211
212	362.3345789
213	362.2167838
214	362.048266
215	361.9553202
216	361.8090923
217	361.7151894
218	361.6443229
219	361.3925572
220	361.230813
221	361.0958104
222	361.0368706
223	360.8742548
224	360.8047738
225	360.7092586
226	360.5405132
227	360.3654608
228	360.2641923
229	360.1393625
230	360.0477231	231	359.8362232	354.7529744
233	354.6161743
234	354.4727438
235	354.4087454
236	354.3012509
237	354.2131061
238	354.1610042
239	353.9056117
240240	358.68606241241	358.56198242242	358.35426243243	358.28416244	353.489541
245	353.3769762
246	353.2689697
247	353.169457
248	353.0789456
249	353.0066926
250	352.9552135
251	352.8400718
252	352.8164075
253	352.7351593
254	352.6017943
255	352.5910769
256	352.4822998
257	352.2523297
258	352.2363684
259	352.1615831
260	352.0954474
261	351.9126276
262	351.9031389
263	351.8910817
264	351.8021919
265	351.6322203
266	351.4151253
267	351.3095703
268	351.1586532
269	350.9509723
270	350.857103
271	350.7436549
272	350.6650943
273	350.5587728
274	350.5227477
275	350.3471944
276	350.3370708
277	350.0985814
278	349.99146
279	349.926581
280	349.8015917
281	349.7984982
282	349.7434308
283	349.6666985
284	349.5136288
285	349.3376969
286	349.2901632
287	349.1908738
288	349.0538206
289	349.032622
290	348.9271747
291	348.8217625
292	348.8034465
293	348.6464416
294	348.5448045
295	348.5420785
296	348.4759373
297	348.2941451
298	348.2011149
299	348.058935
300	347.837033
301	347.8107761
302	347.7121171
303	347.634698
304	347.4402176
305	347.4328581
306	347.3340893
307	347.1569884
308	347.0776561
309	346.9922626
310	346.8769876
311	346.8334976
312	346.8236842
313	346.7394134
314	346.659497
315	346.5940675
316	346.5130042
317	346.4335585
318	346.3509153
319	346.1118306
320	346.0059987
321	345.9381246
322	345.8827702
323	345.8064395
324	345.6946249
325	345.6308253
326	345.561243
327	345.4623056
328	345.3298204
329	345.2326348
330	345.1716634
331	345.1193298
332	345.0214671
333	344.9563193
334	344.7617955
335	344.6129693
336	344.4896611
337	344.4675985
338	344.3863104
339	344.2601362
340	344.1529922
341	343.9431041
342	343.8488497
343	343.7938237
344	343.7416368
345	343.5682725
346	343.5663076
347	343.5051175
348	343.4128067
349	343.324171
350	343.2552645
351	343.1419322
352	343.0682754
353	343.0436961
354	343.0241338
355	342.939719
356	342.8215045
357	342.8122719
358	342.6421081
359	342.6053767
360	342.485106
361	342.416192
362	342.2262914
363	342.0658402
364	342.0139688
365	341.9012185
366	341.8025504
367	341.6566273
368	341.6254323
369	341.5529274
370	341.442957
371	341.285089
372	341.2338604
373	341.1479121
374	341.0887944
375	341.0416362
376	340.9966442
377	340.8910336
378	340.7191925
379	340.7171604
380	340.6249427
381	340.4908761
382	340.4353877
383	340.3579267
384	340.2144048
385	340.1219188
386	340.0711334
387	339.9410658
388	339.9020999
389	339.6966093
390	339.6620943
391	339.5992296
392	339.4584498
393	339.336137
394	339.289119
395	339.2321585
396	339.2174535
397	339.1656751
398	338.9815239
399	338.9161101
400	338.8297969
401	338.6771022
402	338.4593867
403	338.3228461
404	338.1228059
405	337.9910048
406	337.9245925
407	337.7952895
408	337.7428957
409	337.707528
410	337.5951626
411	337.4900099
412	337.4336002
413	337.3951622
414	337.3008682
415	337.2027096
416	337.0852735
417	336.9931436
418	336.9156632
419	336.8297288
420	336.7334382
421	336.5881233
422	336.546863
423	336.3775393
424	336.2797584
425	336.2246284
426	336.1026211
427	336.0143259
428	335.9017769
429	335.734519
430	335.6894413
431	335.5962665
432	335.5476734
433	335.4600574
434	335.339826
435	335.1637652
436	335.1181296
437	335.0135438
438	334.9449623
439	334.8990506
440	334.7933475
441	334.6964742
442	334.6102651
443	334.5299867
444	334.4396934
445	334.3428623
446	334.2703016
447	334.248144
448	334.1525421
449	334.0838316
450	334.0247609
451	333.9590299
452	333.9038759
453	333.8588439
454	333.8237499
455	333.8225097
456	333.7826992
457	333.7306368
458	333.5017478
459	333.3558275
460	333.3162885
461	333.2586918
462	333.0608455
463	333.0009952
464	332.873515
465	332.7043763
466	332.5456744
467	332.4305264
468	332.3783895
469	332.247022
470	332.1857323
471	332.0680321
472	331.9957968
473	331.9585943
474	331.9553286
475	331.8847194
476	331.8011661
477	331.6203892
478	331.5650144
479	331.5639161
480	331.5321935
481	331.5018448
482	331.3093714
483	331.2990571
484	331.1672364
485	331.1332656
486	331.0266606
487	330.8698242
488	330.7665888
489	330.765428
490	330.677961
491	330.5645208
492	330.4915345
493	330.471352
494	330.400827
495	330.3778639
496	330.2834458
497	330.2276064
498	330.1923196
499	330.104156
30.0342102
