iter	Passed	Remaining
400	12372	3054
401	12415	3026
402	12434	2992
403	12451	2958
404	12474	2926
405	12491	2892
406	12506	2857
407	12526	2824
408	12556	2793
409	12581	2761
410	12621	2733
411	12651	2702
412	12685	2672
413	12705	2639
414	12722	2605
415	12741	2572
416	12758	2539
417	12779	2506
418	12794	2473
419	12834	2444
420	12849	2411
421	12863	2377
422	12883	2345
423	12899	2312
424	12920	2280
425	12937	2247
426	12952	2214
427	12969	2181
428	12985	2149
429	13002	2116
430	13017	2084
431	13052	2054
432	13066	2021
433	13094	1991
434	13124	1961
435	13219	1940
436	13255	1910
437	13306	1883
438	13333	1852
439	13388	1825
440	13415	1794
441	13431	1762
442	13461	1732
443	13480	1700
444	13525	1671
445	13545	1639
446	13576	1609
447	13594	1577
448	13611	1546
449	13629	1514
450	13648	1482
451	13666	1451
452	13682	1419
453	13732	1391
454	13759	1360
455	13767	1328
456	13784	1297
457	13810	1266
458	13826	1235
459	13860	1205
460	13894	1175
461	13931	1145
462	13949	1114
463	13968	1083
464	14006	1054
465	14023	1023
466	14055	993
467	14071	962
468	14090	931
469	14105	900
470	14131	870
471	14157	839
472	14179	809
473	14211	779
474	14227	748
475	14250	718
476	14277	688
477	14308	658
478	14340	628
479	14351	597
480	14369	567
481	14388	537
482	14407	507
483	14430	477
484	14453	447
485	14486	417
486	14508	387
487	14538	357
488	14554	327
489	14564	297
490	14579	267
491	14597	237
492	14612	207
493	14620	177
494	14630	147
495	14638	118
496	14646	88
497	14664	58
498	14679	29
499	14708	0
54
495	15287	123
496	15303	92
497	15316	61
498	15330	30
499	15349	0
